categoria,score,type,name
Fantásticos y Experimentales,9.29,TV,Sousou no Frieren
Emocionales y Humanistas,9.29,TV,Sousou no Frieren
Acción y Aventura,9.29,TV,Sousou no Frieren
Fantásticos y Experimentales,9.1,TV,Fullmetal Alchemist: Brotherhood
Emocionales y Humanistas,9.1,TV,Fullmetal Alchemist: Brotherhood
Acción y Aventura,9.1,TV,Fullmetal Alchemist: Brotherhood
Fantásticos y Experimentales,9.07,TV,Steins;Gate
Emocionales y Humanistas,9.07,TV,Steins;Gate
Misterio y Terror,9.07,TV,Steins;Gate
Emocionales y Humanistas,9.05,TV,Shingeki no Kyojin Season 3 Part 2
Acción y Aventura,9.05,TV,Shingeki no Kyojin Season 3 Part 2
Misterio y Terror,9.05,TV,Shingeki no Kyojin Season 3 Part 2
Fantásticos y Experimentales,9.05,TV,Gintama°
Comedia,9.05,TV,Gintama°
Acción y Aventura,9.05,TV,Gintama°
Fantásticos y Experimentales,9.05,Movie,Gintama: The Final
Emocionales y Humanistas,9.05,Movie,Gintama: The Final
Comedia,9.05,Movie,Gintama: The Final
Acción y Aventura,9.05,Movie,Gintama: The Final
Fantásticos y Experimentales,9.03,TV Special,One Piece Fan Letter
Acción y Aventura,9.03,TV Special,One Piece Fan Letter
Fantásticos y Experimentales,9.03,TV,Hunter x Hunter (2011)
Acción y Aventura,9.03,TV,Hunter x Hunter (2011)
Fantásticos y Experimentales,9.02,TV,Gintama'
Comedia,9.02,TV,Gintama'
Acción y Aventura,9.02,TV,Gintama'
Fantásticos y Experimentales,9.02,TV,Gintama': Enchousen
Comedia,9.02,TV,Gintama': Enchousen
Acción y Aventura,9.02,TV,Gintama': Enchousen
Fantásticos y Experimentales,9.02,OVA,Ginga Eiyuu Densetsu
Emocionales y Humanistas,9.02,OVA,Ginga Eiyuu Densetsu
Fantásticos y Experimentales,9.01,Movie,Chainsaw Man Movie: Reze-hen
Acción y Aventura,9.01,Movie,Chainsaw Man Movie: Reze-hen
Acción y Aventura,8.99,TV,Bleach: Sennen Kessen-hen
Fantásticos y Experimentales,8.98,TV,Gintama.
Comedia,8.98,TV,Gintama.
